1 ; -68.80308319248778 ; -188.13103702515792 ; 200
2 ; -80.66417591091643 ; -189.56778539051177 ; 200
3 ; -53.73173302173311 ; -183.4927939274155 ; 200
4 ; -52.94284015756265 ; -167.4487630886631 ; 200
5 ; -70.06796754787042 ; -178.1728010765981 ; 200
6 ; -44.46637780752987 ; -168.99975370827676 ; 200
7 ; -68.41789107612608 ; -196.40470405760175 ; 200
8 ; -56.47107192367646 ; -184.66004499075697 ; 200
9 ; -75.16679520184903 ; -190.2687652587889 ; 200
10 ; -76.09757083149498 ; -185.8985036886231 ; 200
11 ; -71.60636812451555 ; -186.0925752398558 ; 200
12 ; -72.13866076430278 ; -206.44404432588777 ; 200
13 ; -97.36922207917303 ; -221.57238510416366 ; 200
14 ; -73.88325569418305 ; -212.0661839526959 ; 200
15 ; -105.75663966358175 ; -203.6625587313054 ; 200
16 ; -81.78098560677167 ; -219.17482867348198 ; 200
17 ; -87.89487731173871 ; -209.77842046367184 ; 200
18 ; -82.24750799636482 ; -213.69453565183258 ; 200
19 ; -106.89670765140121 ; -228.90848062201664 ; 200
20 ; -91.16689829454131 ; -222.12619922383234 ; 200
21 ; -89.11637698142533 ; -223.61292353342563 ; 200
22 ; -64.625 ; -219.6189125680474 ; 200
23 ; -104.91470955468185 ; -217.80391252420932 ; 200
24 ; -109.83612077127586 ; -223.86391133913878 ; 200
25 ; -95.5998697651357 ; -220.44216947926827 ; 200
26 ; -118.36659953450219 ; -233.07009358424432 ; 200
27 ; -103.9300532490679 ; -231.83614724219188 ; 200
28 ; -96.53990547504436 ; -224.46220081910676 ; 200
29 ; -132.69424810644938 ; -222.42264908411934 ; 200
30 ; -110.67916919633578 ; -235.09417813213156 ; 200
31 ; -96.63526786465995 ; -234.94701475772476 ; 200
32 ; -115.81152489284659 ; -229.5676040584837 ; 200
33 ; -105.2630675673352 ; -226.67010094612226 ; 200
34 ; -113.88024797652584 ; -231.25158114974644 ; 200
35 ; -97.9332233473539 ; -231.7723937091854 ; 200
36 ; -99.82632301224922 ; -225.34390882000264 ; 200
37 ; -98.42006908426917 ; -234.60354708574494 ; 200
38 ; -122.73178186806777 ; -229.46123815984762 ; 200
39 ; -111.98057445865147 ; -232.68023771719265 ; 200
40 ; -103.66066753378274 ; -227.50882016713692 ; 200
41 ; -116.8957634061023 ; -233.91768488769895 ; 200
42 ; -94.68445633767317 ; -224.21986564963538 ; 200
43 ; -100.8886959571153 ; -229.51660240291997 ; 200
44 ; -129.54742547477758 ; -226.0265276788225 ; 200
45 ; -95.81290718508981 ; -222.29040622070022 ; 200
46 ; -101.26790369467531 ; -218.89998011518327 ; 200
47 ; -127.42741229645773 ; -228.78743554682885 ; 200
48 ; -107.48678156644647 ; -230.56936720466666 ; 200
49 ; -116.1591688328732 ; -232.75927625731688 ; 200
50 ; -117.81577510344539 ; -230.82559101740142 ; 200
51 ; -98.65801436273509 ; -231.21699420933038 ; 200
52 ; -114.83531950466663 ; -230.45207448083565 ; 200
53 ; -105.24161551791053 ; -234.75613994578404 ; 200
54 ; -65.5246044481636 ; -232.16934092147793 ; 200
55 ; -124.55895620021613 ; -236.97538094261498 ; 200
56 ; -122.8412274599098 ; -235.86416896691037 ; 200
57 ; -122.48077913676471 ; -240.90237089376612 ; 200
58 ; -112.34746509069615 ; -231.19106111623216 ; 200
59 ; -108.78389237881527 ; -244.94898228367106 ; 200
60 ; -117.15224332771126 ; -234.85199244293852 ; 200
61 ; -87.54481048129985 ; -231.68097088825823 ; 200
62 ; -103.6200553498926 ; -231.5177511788728 ; 200
63 ; -107.47660596120741 ; -228.75904572373165 ; 200
64 ; -96.85536692143364 ; -228.43277449393025 ; 200
65 ; -113.6 ; -236.03129662766293 ; 200
66 ; -81.86703604848427 ; -229.588955718067 ; 200
67 ; -86.7467909788209 ; -231.20436382662905 ; 200
68 ; -116.48567969749315 ; -233.59575705170116 ; 200
69 ; -95.92353698106484 ; -230.44406655877742 ; 200
70 ; -98.1876454206046 ; -229.66257372938722 ; 200
71 ; -102.76650852337907 ; -229.40968939397226 ; 200
72 ; -111.32598872561118 ; -237.2422658933312 ; 200
73 ; -105.46366490221718 ; -227.64994811964416 ; 200
74 ; -67.94934428377778 ; -224.14209489337793 ; 200
75 ; -98.11012156594788 ; -228.97351508164064 ; 200
76 ; -93.23711017884777 ; -224.3112284051392 ; 200
77 ; -105.00442600650258 ; -226.12962423753277 ; 200
78 ; -91.82859326707978 ; -229.32963943463278 ; 200
79 ; -79.98105759965526 ; -228.24995248751802 ; 200
80 ; -105.8563865771504 ; -227.61550126498622 ; 200
81 ; -100.66664785897648 ; -231.3808117158832 ; 200
82 ; -99.63357964025337 ; -228.11419658125385 ; 200
83 ; -126.12561243970504 ; -234.84106346621644 ; 200
84 ; -95.53273318103768 ; -233.73778050165066 ; 200
85 ; -98.07126303405971 ; -223.9036370324908 ; 200
86 ; -106.4 ; -223.3965854863831 ; 200
87 ; -91.7945101686373 ; -229.5791655357746 ; 200
88 ; -122.14353704906848 ; -231.79703818586867 ; 200
89 ; -93.325 ; -224.7653150570973 ; 200
90 ; -123.41911190233623 ; -230.36053463043135 ; 200
91 ; -116.7618670737323 ; -232.1038315066398 ; 200
92 ; -79.71605126492193 ; -228.89787713811464 ; 200
93 ; -97.39421712087116 ; -226.68041064177385 ; 200
94 ; -126.14794368142161 ; -226.52068142210908 ; 200
95 ; -116.76215092527755 ; -227.40005683232366 ; 200
96 ; -108.32689583917173 ; -232.4413427504113 ; 200
97 ; -116.0749770661414 ; -239.03560767829435 ; 200
